state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
Washington,No,1,Bachelor,Employed,F,Suburban,Married,C,O1,Agent,Two-Door Car,2,3
Arizona,No,2,Bachelor,Unemployed,F,Suburban,Single,P,O3,Agent,Four-Door Car,2,3
Nevada,No,3,Bachelor,Employed,F,Suburban,Married,P,O1,Agent,Two-Door Car,2,3
California,No,1,Bachelor,Unemployed,M,Suburban,Married,C,O1,Call Center,SUV,2,2
Washington,No,1,Bachelor,Employed,M,Rural,Single,P,O1,Agent,Four-Door Car,2,1
Oregon,Yes,1,Bachelor,Employed,F,Rural,Married,P,O2,Web,Two-Door Car,2,3
Oregon,Yes,1,College,Employed,F,Suburban,Married,C,O1,Agent,Four-Door Car,2,3
Arizona,No,3,University,Unemployed,M,Urban,Single,C,O1,Agent,Four-Door Car,2,3
Oregon,Yes,1,Bachelor,Other,M,Suburban,Divorced,C,O1,Agent,Four-Door Car,2,3
Oregon,No,2,College,Employed,F,Urban,Married,S,O2,Branch,Four-Door Car,2,2
California,No,1,College,Unemployed,M,Suburban,Single,P,O1,Agent,Four-Door Car,1,3
California,No,1,College,Unemployed,F,Suburban,Married,P,O2,Agent,SUV,2,3
California,No,3,University,Employed,M,Urban,Married,C,O2,Agent,Four-Door Car,2,1
Arizona,Yes,1,High School or Below,Employed,M,Suburban,Married,C,O2,Branch,SUV,2,3
California,No,1,College,Employed,M,Urban,Single,C,O4,Call Center,Four-Door Car,2,3
Oregon,No,1,Bachelor,Employed,F,Rural,Married,C,O2,Branch,Four-Door Car,2,2
Nevada,No,1,High School or Below,Other,M,Suburban,Married,P,O2,Call Center,Two-Door Car,2,3
California,No,1,College,Other,M,Suburban,Married,P,O3,Call Center,SUV,2,2
Oregon,No,1,College,Employed,M,Urban,Married,P,O2,Branch,Four-Door Car,2,2
California,No,3,High School or Below,Employed,F,Suburban,Married,C,O1,Call Center,Four-Door Car,1,2
Oregon,No,1,High School or Below,Employed,M,Suburban,Single,P,O1,Branch,Two-Door Car,2,2
Washington,No,2,Bachelor,Other,F,Suburban,Divorced,P,O4,Call Center,Four-Door Car,2,3
Arizona,Yes,1,Bachelor,Other,M,Suburban,Divorced,P,O1,Agent,Four-Door Car,2,3
Nevada,No,1,Bachelor,Unemployed,F,Suburban,Single,C,O1,Branch,Four-Door Car,2,3
California,No,1,Bachelor,Other,F,Suburban,Married,C,O2,Branch,Four-Door Car,2,2
Oregon,No,1,College,Employed,M,Suburban,Married,P,O2,Call Center,Four-Door Car,3,3
California,No,3,Bachelor,Unemployed,F,Suburban,Single,P,O1,Agent,Four-Door Car,1,3
Washington,No,2,University,Other,F,Urban,Married,C,O1,Branch,SUV,2,1
Arizona,No,3,College,Employed,F,Suburban,Single,P,O1,Call Center,Four-Door Car,3,3
Oregon,No,2,University,Employed,F,Suburban,Married,P,O2,Branch,Four-Door Car,1,3
Arizona,No,1,College,Employed,M,Suburban,Married,P,O4,Call Center,Four-Door Car,1,2
Nevada,No,2,High School or Below,Employed,M,Urban,Married,C,O2,Agent,Luxury,2,2
California,No,1,Bachelor,Unemployed,M,Urban,Married,P,O1,Call Center,Four-Door Car,2,3
Washington,No,1,Bachelor,Employed,M,Suburban,Married,C,O1,Agent,Two-Door Car,1,2
Oregon,No,1,Bachelor,Employed,F,Rural,Married,C,O3,Web,Four-Door Car,2,1
Arizona,No,1,High School or Below,Employed,F,Urban,Married,P,O1,Branch,Four-Door Car,2,1
California,No,3,Bachelor,Employed,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,3
Oregon,No,2,University,Employed,F,Suburban,Married,P,O2,Web,Four-Door Car,1,3
Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,P,O3,Agent,Two-Door Car,1,2
Arizona,No,1,High School or Below,Employed,M,Rural,Divorced,P,O1,Call Center,Four-Door Car,2,3
Nevada,No,1,High School or Below,Unemployed,F,Suburban,Married,C,O3,Call Center,Two-Door Car,2,3
Oregon,Yes,1,College,Employed,F,Rural,Single,C,O2,Agent,Two-Door Car,2,3
California,Yes,2,Bachelor,Employed,F,Suburban,Married,P,O2,Agent,Four-Door Car,1,2
Arizona,No,1,High School or Below,Employed,M,Suburban,Married,P,O4,Agent,Luxury,2,2
Washington,No,1,College,Employed,M,Suburban,Married,S,O2,Call Center,Four-Door Car,3,2
